Modelo-Tipo;Período comercial;cilindrada;cilindros;combustible;potencia Kwh;CVF;potencia CV;precio medio 2020
A4 AVANT 3.0 TDI DPF S line edition Quattro 245;2012-2015;2967;6;D;180;19,85;245;40100
A4 AVANT 3.0 TDI DPF S line edition Quattro S-Tronic 245;2012-2015;2967;6;D;180;19,85;245;41800
A4 AVANT 3.0 TDI Advanced ed. Quattro S-Tronic 218;2015-2018;2967;6;D;160;19,85;218;42200
A4 AVANT 3.0 TDI Advanced ed. Quattro S-Tronic 218 (4.75);2015-2018;2967;6;D;160;19,85;218;44600
A4 AVANT 3.0 TDI Advanced ed. S-Tronic 218;2015-2018;2967;6;D;160;19,85;218;40100
A4 AVANT 3.0 TDI Advanced ed. S-Tronic 218 (4.75);2015-2018;2967;6;D;160;19,85;218;43400
A4 AVANT 3.0 TDI Black line edition S-Tronic 218;2015-2018;2967;6;D;160;19,85;218;44900
A4 AVANT 3.0 TDI Black line edition Quattro S-Tronic 218;2015-2018;2967;6;D;160;19,85;218;47100
A4 AVANT 3.0 TDI Design ed./Sport ed. S-Tronic 218;2015-2018;2967;6;D;160;19,85;218;41800
A4 AVANT 3.0 TDI Design ed./Sport ed. Quattro S-Tronic 218;2015-2018;2967;6;D;160;19,85;218;43900
A4 AVANT 3.0 TDI Design ed. Quattro S-Tronic 218 (4.75);2015-2018;2967;6;D;160;19,85;218;46400
A4 AVANT 3.0 TDI Design ed. S-Tronic 218 (4.75);2015-2018;2967;6;D;160;19,85;218;45200
A4 AVANT 3.0 TDI Quattro S-Tronic 218;2015-2018;2967;6;D;160;19,85;218;39700
A4 AVANT 3.0 TDI Quattro S-Tronic 218 (4.75);2015-2018;2967;6;D;160;19,85;218;42100
A4 AVANT 3.0 TDI S line edition Quattro S-Tronic 218;2015-2018;2967;6;D;160;19,85;218;46400
A4 AVANT 3.0 TDI S line edition S-Tronic 218;2015-2018;2967;6;D;160;19,85;218;42500
A4 AVANT 3.0 TDI S line edition S-Tronic 218 (4.75);2015-2018;2967;6;D;160;19,85;218;45200
A4 AVANT 3.0 TDI S-Tronic 218;2015-2018;2967;6;D;160;19,85;218;37800
A4 AVANT 3.0 TDI S-Tronic 218 (4.75);2015-2018;2967;6;D;160;19,85;218;41000
A4 AVANT 3.0 TDI Sport ed. Quattro S-Tronic 218 (4.75);2015-2018;2967;6;D;160;19,85;218;45500
A4 AVANT 3.0 TDI Sport ed. S-Tronic 218 (4.75);2015-2018;2967;6;D;160;19,85;218;44300
A4 AVANT 3.0 TDI Advanced ed. Quattro Tiptronic 272;2015-2018;2967;6;D;200;19,85;272;47200
A4 AVANT 3.0 TDI Black line edition Quattro Tiptronic 272;2015-2018;2967;6;D;200;19,85;272;50400
A4 AVANT 3.0 TDI Design ed./Sport ed. Quattro Tiptronic 272;2015-2018;2967;6;D;200;19,85;272;48900
A4 AVANT 3.0 TDI Quattro Tiptronic 272;2015-2018;2967;6;D;200;19,85;272;44500
A4 AVANT 3.0 TDI S line edition Quattro Tiptronic 272;2015-2018;2967;6;D;200;19,85;272;49700
A4 AVANT 3.0 TFSI Quattro S-Tronic 272;2012-2015;2995;6;G;200;19,96;272;39700
A4 AVANT 3.0 TFSI S line edition Quattro S-Tronic 272;2012-2015;2995;6;G;200;19,96;272;41400
A4 AVANT 3.2 FSI Multitronic/Quattro;2004-2008;3123;6;G;187;20,47;254;32800
A4 AVANT 3.2 FSI Quattro Tiptronic;2004-2008;3123;6;G;187;20,47;254;34500
A4 AVANT 3.2 FSI Quattro;2008-2011;3197;6;G;195;20,76;265;36700
A4 AVANT 3.2 FSI QuattroTiptr.;2008-2011;3197;6;G;195;20,76;265;38300
A4 AVANT 3.2 FSI Multitronic;2008-2011;3197;6;G;195;20,76;265;35200
A4 AVANT RS4;1996-2001;2671;6;G;280;18,64;381;53200
A4 AVANT S4 2.7 Biturbo Quattro;1996-2001;2671;6;G;195;18,64;265;36900
A4 AVANT S4;2008-2011;2995;6;G;245;19,96;333;45900
A4 AVANT S4 S-Tronic;2008-2011;2995;6;G;245;19,96;333;47600
A4 S4 AVANT 3.0 TFSI Quattro S-Tronic;2012-2015;2995;6;G;245;19,96;333;47800
A4 S4 AVANT 3.0 TFSI Quattro Tiptronic 354;2015-2018;2995;4;G;261;16,97;354;58100
A4 AVANT S4 4.2 V8 Quattro (2001);2001-2004;4163;8;G;253;27,29;344;43700
A4 AVANT S4 4.2 V8 Quattro Tiptronic (2001);2001-2004;4163;8;G;253;27,29;344;45600
A4 AVANT S4 4.2 V8 Quattro;2004-2008;4163;8;G;253;27,29;344;46100
A4 AVANT S4 4.2 V8 Quattro Tiptronic;2004-2008;4163;8;G;253;27,29;344;48000
A4 AVANT RS4 4.2 V8 FSI Quattro;2004-2008;4163;8;G;309;27,29;420;58900
A4 Avant RS4 2.9 TFSI Quattro Aut 450;2018-;2894;6;G;331;19,55;450;78300
A4 AVANT RS4 4.2 TFSI Quattro ST;2012-2015;4163;8;G;331;27,29;450;68100
A5 2.0 35 TDI S line S tronic 7 vel.;2018-;1968;4;D;110;13,19;150;34100
A5 2.0 35 TDI S tronic 7 vel.;2018-;1968;4;D;110;13,19;150;30900
A5 2.0 35 TDI S tronic Advanced 7 vel.;2018-;1968;4;D;110;13,19;150;33000
A5 2.0 40 TFSI 6 vel.;2018-;1984;4;G;140;13,26;190;28500
A5 2.0 40 TFSI Advanced 6 vel.;2018-;1984;4;G;140;13,26;190;30600
A5 2.0 40 TFSI S line 6 vel.;2018-;1984;4;G;140;13,26;190;31600
A5 Cabrio 1.8 TFSI (2009);2009-2011;1798;4;G;118;12,5;160;31700
A5 Cabrio 1.8 TFSI Multitronic (2009);2009-2011;1798;4;G;118;12,5;160;33700
A5 Cabrio 1.8 TFSI;2011-2016;1798;4;G;125;12,5;170;32700
A5 Cabrio 1.8 TFSI Advanced Edition;2011-2016;1798;4;G;125;12,5;170;37000
A5 Cabrio 1.8 TFSI Advanced Edition Multitronic;2011-2016;1798;4;G;125;12,5;170;39100
A5 Cabrio 1.8 TFSI Multitronic;2011-2016;1798;4;G;125;12,5;170;34600
A5 Cabrio 1.8 TFSI S line edition;2011-2016;1798;4;G;125;12,5;170;37000
A5 Cabrio 1.8 TFSI S line edition Multitronic;2011-2016;1798;4;G;125;12,5;170;38900
A5 Cabrio 1.8 TFSI 177;2011-2016;1798;4;G;130;12,5;177;35100
A5 Cabrio 1.8 TFSI Advanced Edition/S line edition 177;2011-2016;1798;4;G;130;12,5;177;37000
A5 Cabrio 1.8 TFSI Advanced Edition/S line edition Multitronic 177;2011-2016;1798;4;G;130;12,5;177;39200
A5 Cabrio 1.8 TFSI Multitronic 177;2011-2016;1798;4;G;130;12,5;177;37100
A5 Cabrio 2.0 TDI (2009);2009-2011;1968;4;D;125;13,19;170;35800
A5 Cabrio 2.0 TDI 143;2011-2016;1968;4;D;105;13,19;143;35200
A5 Cabrio 2.0 TDI 150;2011-2016;1968;4;D;110;13,19;150;36700
A5 Cabrio 2.0 TDI Advanced Edition 150;2011-2016;1968;4;D;110;13,19;150;39900
A5 Cabrio 2.0 TDI S line edition 150;2011-2016;1968;4;D;110;13,19;150;39900
A5 Cabrio 2.0 TDI;2011-2016;1968;4;D;130;13,19;177;37500
A5 Cabrio 2.0 TDI Multitronic;2011-2016;1968;4;D;130;13,19;177;39400
A5 Cabrio 2.0 TDI Quattro;2011-2016;1968;4;D;130;13,19;177;39200
A5 Cabrio 2.0 TDI S line edition;2011-2016;1968;4;D;130;13,19;177;42200
A5 Cabrio 2.0 TDI S line edition Multitronic;2011-2016;1968;4;D;130;13,19;177;44200
A5 Cabrio 2.0 TDI S line edition Quattro;2011-2016;1968;4;D;130;13,19;177;44000
A5 Cabrio 2.0 TDI 190;2011-2016;1968;4;D;140;13,19;190;39700
A5 Cabrio 2.0 TDI Advanced Edition 190;2011-2016;1968;4;D;140;13,19;190;42700
A5 Cabrio 2.0 TDI Advanced Edition Multitronic 190;2011-2016;1968;4;D;140;13,19;190;44900
A5 Cabrio 2.0 TDI Advanced Edition Quattro 190;2011-2016;1968;4;D;140;13,19;190;44600
A5 Cabrio 2.0 TDI Aut. 190;2017-;1968;4;D;140;13,19;190;45800
A5 Cabrio 2.0 TDI Quattro Aut. 190;2018-;1968;4;D;140;13,19;190;49400
A5 Cabrio 2.0 TDI Multitronic 190;2011-2016;1968;4;D;140;13,19;190;41900
A5 Cabrio 2.0 TDI Quattro 190;2011-2016;1968;4;D;140;13,19;190;41500
A5 Cabrio 2.0 TDI S line edition 190;2011-2016;1968;4;D;140;13,19;190;42500
A5 Cabrio 2.0 TDI S line edition Multitronic 190;2011-2016;1968;4;D;140;13,19;190;44600
A5 Cabrio 2.0 TDI S line edition Quattro 190;2011-2016;1968;4;D;140;13,19;190;44300
A5 Cabrio 2.0 TFSI Multitronic (2009);2009-2011;1984;4;G;132;13,26;180;35400
A5 Cabrio 2.0 TFSI Multitronic 211;2009-2011;1984;4;G;155;13,26;211;38800
A5 Cabrio 2.0 TFSI 211;2009-2011;1984;4;G;155;13,26;211;35400
A5 Cabrio 2.0 TFSI Q. S-T 211;2009-2011;1984;4;G;155;13,26;211;40500
A5 Cabrio 2.0 TFSI;2011-2016;1984;4;G;155;13,26;211;37000
A5 Cabrio 2.0 TFSI Multitronic;2011-2016;1984;4;G;155;13,26;211;38900
A5 Cabrio 2.0 TFSI Quattro S-Tronic;2011-2016;1984;4;G;155;13,26;211;42300
A5 Cabrio 2.0 TFSI 225;2011-2016;1984;4;G;166;13,26;225;38800
A5 Cabrio 2.0 TFSI Advanced Edition 225;2011-2016;1984;4;G;166;13,26;225;42100
A5 Cabrio 2.0 TFSI Advanced Edition Multitronic 225;2011-2016;1984;4;G;166;13,26;225;44300
A5 Cabrio 2.0 TFSI Advanced Edition Quattro S-Tronic 225;2011-2016;1984;4;G;166;13,26;225;46200
A5 Cabrio 2.0 TFSI Advanced Edition Quattro S-Tronic 225 (9.75);2011-2016;1984;4;G;166;13,26;225;48100
A5 Cabrio 2.0 TFSI Multitronic 225;2011-2016;1984;4;G;166;13,26;225;40700
A5 Cabrio 2.0 TFSI Quattro S-Tronic 225;2011-2016;1984;4;G;166;13,26;225;42500
A5 Cabrio 2.0 TFSI Quattro S-Tronic 225 (9.75);2011-2016;1984;4;G;166;13,26;225;45500
A5 Cabrio 2.0 TFSI S line edition 225;2011-2016;1984;4;G;166;13,26;225;41900
