Modelo-Tipo;Período comercial;cilindrada;cilindros;combustible;potencia Kwh;CVF;potencia CV;precio medio 2020
A3 Cabrio 2.0 TDI Design Edition/Sport Edition 150;2016-;1968;4;D;110;13,19;150;32500
A3 Cabrio 2.0 TDI Design Edition/Sport Edition quattro 150;2016-;1968;4;D;110;13,19;150;34700
A3 Cabrio 2.0 TDI Design Edition S-Tronic 150;2016-;1968;4;D;110;13,19;150;34700
A3 Cabrio 2.0 TDI quattro 150;2016-;1968;4;D;110;13,19;150;32400
A3 Cabrio 2.0 TDI S Line Edition 150;2016-;1968;4;D;110;13,19;150;26000
A3 Cabrio 2.0 TDI S Line Edition quattro 150;2016-;1968;4;D;110;13,19;150;36200
A3 Cabrio 2.0 TDI S Line Edition S-Tronic 150;2016-;1968;4;D;110;13,19;150;36300
A3 Cabrio 2.0 TDI S-Tronic 150;2016-;1968;4;D;110;13,19;150;32400
A3 Cabrio 2.0 TDI S-Tronic 150 (0.0);2016-;1968;4;D;110;13,19;150;31200
A3 Cabrio 2.0 TDI quattro S-Tronic 184;2016-;1968;4;D;135;13,19;184;38900
A3 Cabrio 2.0 TDI Design Edition/Sport Edition quattro S-Tronic 184;2016-;1968;4;D;135;13,19;184;41500
A3 Cabrio 2.0 TDI S Line Edition quattro S-Tronic 184;2016-;1968;4;D;135;13,19;184;43000
A3 Cabrio 2.0 TFSI Ambition;2008-2010;1984;4;G;147;13,26;200;27700
A3 Cabrio 2.0 TFSI Ambition ST;2008-2010;1984;4;G;147;13,26;200;29400
A3 Cabrio 2.0 TFSI Attraction;2008-2010;1984;4;G;147;13,26;200;26600
A3 Cabrio 2.0 TFSI Ambition;2010-2014;1984;4;G;147;13,26;200;29100
A3 Cabrio 2.0 TFSI Ambition S-T;2010-2014;1984;4;G;147;13,26;200;30900
A3 Cabrio 2.0 TFSI Attraction;2010-2014;1984;4;G;147;13,26;200;28000
A3 Cabrio 2.0 TFSI 190;2016-;1984;4;G;140;13,26;190;31300
A3 Cabrio 2.0 TFSI Design Edition/Sport Edition 190;2016-;1984;4;G;140;13,26;190;33500
A3 Cabrio 2.0 TFSI Design Edition Q. S-Tronic 190;2016-;1984;4;G;140;13,26;190;37100
A3 Cabrio 2.0 TFSI quattro S-Tronic 190;2016-;1984;4;G;140;13,26;190;34700
A3 Cabrio 2.0 TFSI S Line Edition 190;2016-;1984;4;G;140;13,26;190;34900
A3 Cabrio 2.0 TFSI S Line Edition Q. S-Tronic 190;2016-;1984;4;G;140;13,26;190;38700
A3 Cabrio 2.0 TFSI Sport Edition Q. S-Tronic 190;2016-;1984;4;G;140;13,26;190;37200
A3 S3 Cabrio 2.0 TFSI quattro S-Tronic;2014-2016;1984;4;G;221;13,26;300;43600
A3 S3 Cabrio 2.0 TFSI quattro S-Tronic 310;2016-;1984;4;G;228;13,26;310;46400
A3 Cabrio S Line 40 TFSI quattro;2018-;1984;4;G;140;13,26;190;39600
S3 Cabrio TFSI S quattro;2018-;1984;4;G;221;13,26;300;49100
A3 Sedán 35 TDI 6 vel.;2018-;1968;4;D;110;13,19;150;25600
A3 Sedán 35 TDI S Tronic 7 vel.;2018-;1968;4;D;110;13,19;150;27400
A3 Sedán 35 TDI Design 6 vel.;2018-;1968;4;D;110;13,19;150;27800
A3 Sedán 35 TDI Design S Tronic 7 vel.;2018-;1968;4;D;110;13,19;150;29800
A3 Sedán 35 TDI S Line 6 vel.;2018-;1968;4;D;110;13,19;150;28800
A3 Sedán 35 TDI S Line S Tronic 7 vel.;2018-;1968;4;D;110;13,19;150;30800
A3 Sedán 35 TDI Black Line 6 vel.;2018-;1968;4;D;110;13,19;150;29700
A3 Sedán 35 TDI Black Line S Tronic 7 vel.;2018-;1968;4;D;110;13,19;150;31700
A3 Sedán 40 TFSI S Line S Tronic 7 vel.;2018-;1984;4;G;140;13,26;190;33600
A3 Sedán 40 TFSI Black Line S Tronic 7 vel.;2018-;1984;4;G;140;13,26;190;34500
S3 Sedán TFSI quattro;2018-;1984;4;G;221;13,26;300;43200
RS3 Sedán TFSI quattro;2018-;2480;5;G;294;16,57;400;53500
A3 Sedan 1.0 TFSI 116;2016-2018;999;4;G;85;8,78;116;20700
A3 Sedan 1.0 TFSI Design Edition/Sport Edition 116;2016-2018;999;4;G;85;8,78;116;22400
A3 Sedan 1.0 TFSI Design Edition S tronic 116;2016-2018;999;3;G;85;7,83;115;24100
A3 Sedan 1.0 TFSI S Line Edition 116;2016-2018;999;4;G;85;8,78;116;23700
A3 Sedan 1.0 TFSI S Line Edition S-tronic 116;2016-2018;999;4;G;85;8,78;116;25600
A3 Sedan 1.0 TFSI Sport Edition S-tronic 116;2016-2018;999;4;G;85;8,78;116;24200
A3 Sedan 1.0 TFSI S-tronic 116;2016-2018;999;4;G;85;8,78;116;22400
A3 Sedán 1.0 30 TFSI 6 vel.;2018-;999;3;G;85;7,83;116;22500
A3 Sedán 1.0 30 TFSI Design 6 vel.;2018-;999;3;G;85;7,83;116;24500
A3 Sedán 1.0 30 TFSI Design S tronic;2018-;999;3;G;85;7,83;116;26400
A3 Sedán 1.0 30 TFSI S line 6 vel.;2018-;999;3;G;85;7,83;116;25500
A3 Sedán 1.0 30 TFSI S line S tronic;2018-;999;3;G;85;7,83;116;27300
A3 Sedán 1.0 30 TFSI S tronic;2018-;999;3;G;85;7,83;116;24200
A3 Sedán 1.2 TFSI Adrenalin 110;2013-2016;1197;4;G;81;9,79;110;19600
A3 Sedán 1.2 TFSI Ambiente/Ambition 110;2013-2016;1197;4;G;81;9,79;110;21300
A3 Sedán 1.2 TFSI Attracted 110;2013-2016;1197;4;G;81;9,79;110;18600
A3 Sedán 1.2 TFSI Attraction 110;2013-2016;1197;4;G;81;9,79;110;19400
A3 Sedán 1.2 TFSI S line edition 110;2013-2016;1197;4;G;81;9,79;110;22400
A3 Sedán 1.4 TFSI Adrenalin;2013-2016;1395;4;G;92;10,73;125;20300
A3 Sedán 1.4 TFSI Adrenalin S-T;2013-2016;1395;4;G;92;10,73;125;22000
A3 Sedán 1.4 TFSI Advanced;2013-2016;1395;4;G;92;10,73;125;20700
A3 Sedán 1.4 TFSI Advanced (4.75);2013-2016;1395;4;G;92;10,73;125;22500
A3 Sedán 1.4 TFSI Advanced S-T;2013-2016;1395;4;G;92;10,73;125;22400
A3 Sedán 1.4 TFSI Ambiente/Ambition;2013-2016;1395;4;G;92;10,73;125;21700
A3 Sedán 1.4 TFSI Ambiente/Ambition S-T;2013-2016;1395;4;G;92;10,73;125;23700
A3 Sedán 1.4 TFSI Attracted;2013-2016;1395;4;G;92;10,73;125;19300
A3 Sedán 1.4 TFSI Attracted (4.75);2013-2016;1395;4;G;92;10,73;125;22200
A3 Sedán 1.4 TFSI Attracted S-T;2013-2016;1395;4;G;92;10,73;125;21000
A3 Sedán 1.4 TFSI Attraction;2013-2016;1395;4;G;92;10,73;125;19700
A3 Sedán 1.4 TFSI Attraction (4.75);2013-2016;1395;4;G;92;10,73;125;22600
A3 Sedán 1.4 TFSI Attraction S-T;2013-2016;1395;4;G;92;10,73;125;21700
A3 Sedán 1.4 TFSI S line edition;2013-2016;1395;4;G;92;10,73;125;23200
A3 Sedán 1.4 TFSI S line edition (4.75);2013-2016;1395;4;G;92;10,73;125;21700
A3 Sedán 1.4 TFSI S line edition S-T;2013-2016;1395;4;G;92;10,73;125;24600
A3 Sedán 1.4 TFSI COD Adrenalin;2013-2016;1395;4;G;103;10,73;140;21900
A3 Sedán 1.4 TFSI COD Adrenalin S-T;2013-2016;1395;4;G;103;10,73;140;23500
A3 Sedán 1.4 TFSI COD Ambiente/Ambition;2013-2016;1395;4;G;103;10,73;140;23400
A3 Sedán 1.4 TFSI COD Ambiente/Ambition S-T;2013-2016;1395;4;G;103;10,73;140;25100
A3 Sedán 1.4 TFSI COD Attracted;2013-2016;1395;4;G;103;10,73;140;20900
A3 Sedán 1.4 TFSI COD Attracted S-T;2013-2016;1395;4;G;103;10,73;140;22500
A3 Sedán 1.4 TFSI COD Attraction;2013-2016;1395;4;G;103;10,73;140;21500
A3 Sedán 1.4 TFSI COD Attraction S-T;2013-2016;1395;4;G;103;10,73;140;23200
A3 Sedán 1.4 TFSI COD S line edition;2013-2016;1395;4;G;103;10,73;140;24700
A3 Sedán 1.4 TFSI COD S line edition S-T;2013-2016;1395;4;G;103;10,73;140;26400
A3 Sedán 1.4 TFSI COD Adrenalin 150;2013-2016;1395;4;G;110;10,73;150;22100
A3 Sedán 1.4 TFSI COD Adrenalin S-T 150;2013-2016;1395;4;G;110;10,73;150;23800
A3 Sedán 1.4 TFSI COD Advanced 150;2013-2016;1395;4;G;110;10,73;150;22500
A3 Sedán 1.4 TFSI COD Advanced S-T 150;2013-2016;1395;4;G;110;10,73;150;24300
A3 Sedán 1.4 TFSI COD Ambiente/Ambition 150;2013-2016;1395;4;G;110;10,73;150;23700
A3 Sedán 1.4 TFSI COD Ambiente/Ambition S-T 150;2013-2016;1395;4;G;110;10,73;150;25400
A3 Sedán 1.4 TFSI COD Attracted 150;2013-2016;1395;4;G;110;10,73;150;21100
A3 Sedán 1.4 TFSI COD Attracted S-T 150;2013-2016;1395;4;G;110;10,73;150;22800
A3 Sedán 1.4 TFSI COD Attraction 150;2013-2016;1395;4;G;110;10,73;150;21800
A3 Sedán 1.4 TFSI COD Attraction S-T 150;2013-2016;1395;4;G;110;10,73;150;23500
A3 Sedán 1.4 TFSI COD S line edition 150;2013-2016;1395;4;G;110;10,73;150;24900
A3 Sedán 1.4 TFSI COD S line edition S-T 150;2013-2016;1395;4;G;110;10,73;150;26600
A3 Sedán 1.4 TFSI COD ultra Attraction 150;2013-2016;1395;4;G;110;10,73;150;22200
A3 Sedán 1.4 TFSI COD ultra Attraction S 150;2013-2016;1395;4;G;110;10,73;150;23800
A3 Sedán 1.4 TFSI Cod ultra 150;2016-;1395;4;G;110;10,73;150;23000
A3 Sedán 1.4 TFSI COD ultra Black Line Edition 150;2016-;1395;4;G;110;10,73;150;26900
A3 Sedán 1.4 TFSI COD ultra Black Line Edition Aut. 150;2016-;1395;4;G;110;10,73;150;28900
A3 Sedán 1.4 TFSI COD ultra Design Edition/Sport Edition 150;2016-;1395;4;G;110;10,73;150;24700
A3 Sedán 1.4 TFSI COD ultra Design Edition S-tronic 150;2016-;1395;4;G;110;10,73;150;26600
A3 Sedán 1.4 TFSI COD ultra S line Edition 150;2016-;1395;4;G;110;10,73;150;26200
A3 Sedán 1.4 TFSI COD ultra S line Edition S-tronic 150;2016-;1395;4;G;110;10,73;150;28100
A3 Sedán 1.4 TFSI COD ultra Sport Edition S-tronic 150;2016-;1395;4;G;110;10,73;150;26700
A3 Sedán 1.4 TFSI COD ultra S-tronic 150;2016-;1395;4;G;110;10,73;150;24700
A3 Sedán 1.5 TFSI CoD EVO;2016-2018;1498;4;G;110;11,2;150;22600
A3 Sedán 1.5 TFSI CoD EVO Aut.;2016-2018;1498;4;G;110;11,2;150;24300
A3 Sedán 1.5 TFSI COD EVO S-tronic 150. S.Line Edition;2017-2018;1498;4;G;110;11,2;150;24400
A3 Sedán 1.5 35 TFSI 6 vel.;2018-;1495;4;G;110;11,19;150;24400
A3 Sedán 1.5 35 TFSI Design 6 vel.;2018-;1495;4;G;110;11,19;150;26600
A3 Sedán 1.5 35 TFSI Design S tronic;2018-;1495;4;G;110;11,19;150;27500
A3 Sedán 1.5 35 TFSI S line 6 vel.;2018-;1495;4;G;110;11,19;150;27600
A3 Sedán 1.5 35 TFSI S line S tronic;2018-;1495;4;G;110;11,19;150;28400
A3 Sedán 1.5 35 TFSI S tronic;2018-;1495;4;G;110;11,19;150;25300
A3 Sedán 1.6 TDI Adrenalin;2013-2016;1598;4;D;77;11,64;105;21800
A3 Sedán 1.6 TDI Adrenalin S-T;2013-2016;1598;4;D;77;11,64;105;23500
A3 Sedán 1.6 TDI Ambiente/Ambition;2013-2016;1598;4;D;77;11,64;105;23400
A3 Sedán 1.6 TDI Ambiente/Ambition S-T;2013-2016;1598;4;D;77;11,64;105;25200
A3 Sedán 1.6 TDI Attracted;2013-2016;1598;4;D;77;11,64;105;20700
A3 Sedán 1.6 TDI Attracted S-T;2013-2016;1598;4;D;77;11,64;105;22500
A3 Sedán 1.6 TDI Attraction;2013-2016;1598;4;D;77;11,64;105;21400
A3 Sedán 1.6 TDI Attraction S-T;2013-2016;1598;4;D;77;11,64;105;23100
A3 Sedán 1.6 TDI S line edition;2013-2016;1598;4;D;77;11,64;105;24700
A3 Sedán 1.6 TDI S line edition S-T;2013-2016;1598;4;D;77;11,64;105;26500
A3 Sedán 1.6 TDI CD Adrenalin;2013-2016;1598;4;D;81;11,64;110;22000
A3 Sedán 1.6 TDI CD Adrenalin S-T;2013-2016;1598;4;D;81;11,64;110;23800
A3 Sedán 1.6 TDI CD Advanced;2013-2016;1598;4;D;81;11,64;110;22400
A3 Sedán 1.6 TDI CD Advanced S-T;2013-2016;1598;4;D;81;11,64;110;24200
A3 Sedán 1.6 TDI CD Ambiente/Ambition;2013-2016;1598;4;D;81;11,64;110;23800
A3 Sedán 1.6 TDI CD Ambiente/Ambition S-T;2013-2016;1598;4;D;81;11,64;110;25500
A3 Sedán 1.6 TDI CD Attracted;2013-2016;1598;4;D;81;11,64;110;21000
A3 Sedán 1.6 TDI CD Attracted S-T;2013-2016;1598;4;D;81;11,64;110;22700
A3 Sedán 1.6 TDI CD Attraction;2013-2016;1598;4;D;81;11,64;110;21700
A3 Sedán 1.6 TDI CD Attraction S-T;2013-2016;1598;4;D;81;11,64;110;23500
A3 Sedán 1.6 TDI CD S line edition;2013-2016;1598;4;D;81;11,64;110;23100
A3 Sedán 1.6 TDI CD S line edition S-T;2013-2016;1598;4;D;81;11,64;110;24900
A3 Sedán 1.6 TDI 110;2016-2018;1598;4;D;81;11,64;110;22100
A3 Sedán 1.6 TDI Design Edition/Sport Edition 110;2016-2018;1598;4;D;81;11,64;110;23900
A3 Sedán 1.6 TDI Design Edition S-tronic 110;2016-2018;1598;4;D;81;11,64;110;25700
A3 Sedán 1.6 TDI S Line Edition 110;2016-2018;1598;4;D;81;11,64;110;25300
A3 Sedán 1.6 TDI S Line Edition S-tronic 110;2016-2018;1598;4;D;81;11,64;110;27300
A3 Sedán 1.6 TDI S-tronic 110;2016-2018;1598;4;D;81;11,64;110;23900
A3 Sedán 1.6 TDI Sport Edition S-tronic 110;2016-2018;1598;4;D;81;11,64;110;25800
A3 Sedán 1.6 TDI 116;2016-2018;1598;4;D;85;11,64;116;22400
A3 Sedán 1.6 TFSI Design Edition/Sport Edition 116;2016-2018;1598;4;D;85;11,64;116;24200
A3 Sedán 1.6 TFSI Design Edition/Sport Edition S-tronic 116;2016-2018;1598;4;D;85;11,64;116;26000
A3 Sedán 1.6 TFSI S line Edition 116;2016-2018;1598;4;D;85;11,64;116;25600
A3 Sedán 1.6 TFSI S line Edition S-tronic 116;2016-2018;1598;4;D;85;11,64;116;27500
A3 Sedán 1.6 TFSI S-tronic 116;2016-2018;1598;4;D;85;11,64;116;24200
A3 Sedán 1.6 30 TDI 6 vel.;2018-;1598;4;D;85;11,64;116;23900
A3 Sedán 1.6 30 TDI Design 6 vel.;2018-;1598;4;D;85;11,64;116;26100
A3 Sedán 1.6 30 TDI Design S tronic;2018-;1598;4;D;85;11,64;116;28100
A3 Sedán 1.6 30 TDI S line 6 vel.;2018-;1598;4;D;85;11,64;116;27100
A3 Sedán 1.6 30 TDI S line S tronic;2018-;1598;4;D;85;11,64;116;29000
A3 Sedán 1.6 30 TDI S tronic;2018-;1598;4;D;85;11,64;116;25800
A3 Sedán 1.8 TFSI Advanced;2013-2016;1798;4;G;132;12,5;180;24400
A3 Sedán 1.8 TFSI Advanced Quattro S-T;2013-2016;1798;4;G;132;12,5;180;28100
A3 Sedán 1.8 TFSI Advanced S-T;2013-2016;1798;4;G;132;12,5;180;26200
A3 Sedán 1.8 TFSI Ambiente/Ambition;2013-2016;1798;4;G;132;12,5;180;25300
A3 Sedán 1.8 TFSI Ambiente/Ambition Quattro S-T;2013-2016;1798;4;G;132;12,5;180;28700
A3 Sedán 1.8 TFSI Ambiente/Ambition S-T;2013-2016;1798;4;G;132;12,5;180;27000
A3 Sedán 1.8 TFSI Attraction;2013-2016;1798;4;G;132;12,5;180;23200
A3 Sedán 1.8 TFSI Attraction Quattro S-T;2013-2016;1798;4;G;132;12,5;180;26700
A3 Sedán 1.8 TFSI Attraction S-T;2013-2016;1798;4;G;132;12,5;180;25000
A3 Sedán 1.8 TFSI S line edition;2013-2016;1798;4;G;132;12,5;180;26600
A3 Sedán 1.8 TFSI S line edition Quattro S-T;2013-2016;1798;4;G;132;12,5;180;30000
A3 Sedán 1.8 TFSI S line edition S-T;2013-2016;1798;4;G;132;12,5;180;28300
A3 Sedán 2.0 TDI Adrenalin;2013-2016;1968;4;D;110;13,19;150;23300
A3 Sedán 2.0 TDI Adrenalin Quattro;2013-2016;1968;4;D;110;13,19;150;26000
A3 Sedán 2.0 TDI Adrenalin S-T;2013-2016;1968;4;D;110;13,19;150;25000
A3 Sedán 2.0 TDI Ambition/Ambiente;2013-2016;1968;4;D;110;13,19;150;24900
A3 Sedán 2.0 TDI Ambition/Ambiente Quattro;2013-2016;1968;4;D;110;13,19;150;27700
A3 Sedán 2.0 TDI Ambition/Ambiente S-T;2013-2016;1968;4;D;110;13,19;150;26700
A3 Sedán 2.0 TDI Attracted;2013-2016;1968;4;D;110;13,19;150;22200
A3 Sedán 2.0 TDI Attracted Quattro;2013-2016;1968;4;D;110;13,19;150;24900
A3 Sedán 2.0 TDI Attracted S-T;2013-2016;1968;4;D;110;13,19;150;24000
A3 Sedán 2.0 TDI Attraction;2013-2016;1968;4;D;110;13,19;150;22900
A3 Sedán 2.0 TDI Attraction Quattro;2013-2016;1968;4;D;110;13,19;150;25600
A3 Sedán 2.0 TDI Attraction S-T;2013-2016;1968;4;D;110;13,19;150;24600
A3 Sedán 2.0 TDI S line edition;2013-2016;1968;4;D;110;13,19;150;26200
A3 Sedán 2.0 TDI S line edition Quattro;2013-2016;1968;4;D;110;13,19;150;29100
A3 Sedán 2.0 TDI S line edition S-T;2013-2016;1968;4;D;110;13,19;150;28000
A3 Sedán 2.0 TDI CD Adrenalin 150;2013-2016;1968;4;D;110;13,19;150;23500
A3 Sedán 2.0 TDI CD Adrenalin Quattro 150;2013-2016;1968;4;D;110;13,19;150;26300
A3 Sedán 2.0 TDI CD Adrenalin S-Tronic 150;2013-2016;1968;4;D;110;13,19;150;25300
A3 Sedán 2.0 TDI CD Advanced 150;2013-2016;1968;4;D;110;13,19;150;24000
A3 Sedán 2.0 TDI CD Advanced Quattro 150;2013-2016;1968;4;D;110;13,19;150;26900
A3 Sedán 2.0 TDI CD Advanced S-Tronic 150;2013-2016;1968;4;D;110;13,19;150;25800
A3 Sedán 2.0 TDI CD Advanced S-Tronic 150 (4.75);2013-2016;1968;4;D;110;13,19;150;28500
A3 Sedán 2.0 TDI CD Ambiente/Ambition 150;2013-2016;1968;4;D;110;13,19;150;25300
A3 Sedán 2.0 TDI CD Ambiente/Ambition Quattro 150;2013-2016;1968;4;D;110;13,19;150;28100
A3 Sedán 2.0 TDI CD Ambiente/Ambition S-Tronic 150;2013-2016;1968;4;D;110;13,19;150;27000
A3 Sedán 2.0 TDI CD Attracted 150;2013-2016;1968;4;D;110;13,19;150;22500
A3 Sedán 2.0 TDI CD Attracted Quattro 150;2013-2016;1968;4;D;110;13,19;150;25200
A3 Sedán 2.0 TDI CD Attracted S-Tronic 150;2013-2016;1968;4;D;110;13,19;150;24200
A3 Sedán 2.0 TDI CD Attracted S-Tronic 150 (4.75);2013-2016;1968;4;D;110;13,19;150;28200
A3 Sedán 2.0 TDI CD Attraction 150;2013-2016;1968;4;D;110;13,19;150;23200
A3 Sedán 2.0 TDI CD Attraction Quattro 150;2013-2016;1968;4;D;110;13,19;150;26000
A3 Sedán 2.0 TDI CD Attraction S-Tronic 150;2013-2016;1968;4;D;110;13,19;150;25000
A3 Sedán 2.0 TDI CD Attraction S-Tronic 150 (4.75);2013-2016;1968;4;D;110;13,19;150;28700
A3 Sedán 2.0 TDI CD S line edition 150;2013-2016;1968;4;D;110;13,19;150;24700
A3 Sedán 2.0 TDI CD S line edition Quattro 150;2013-2016;1968;4;D;110;13,19;150;27600
A3 Sedán 2.0 TDI CD S line edition S-Tronic 150;2013-2016;1968;4;D;110;13,19;150;26500
A3 Sedán 2.0 TDI CD S line edition S-Tronic 150 (4.75);2013-2016;1968;4;D;110;13,19;150;28500
A3 Sedán 2.0 TDI S line edition 184;2013-2016;1968;4;D;135;13,19;184;29400
A3 Sedán 2.0 TDI S line edition Quattro S-T 184;2013-2016;1968;4;D;135;13,19;184;34200
A3 Sedán 2.0 TDI CD Advanced 184;2013-2016;1968;4;D;135;13,19;184;27400
A3 Sedán 2.0 TDI CD Advanced Quattro 184;2013-2016;1968;4;D;135;13,19;184;32300
A3 Sedán 2.0 TDI CD Ambiente/Ambition 184;2013-2016;1968;4;D;135;13,19;184;28400
A3 Sedán 2.0 TDI CD Ambiente/Ambition Quattro S-T 184;2013-2016;1968;4;D;135;13,19;184;33200
A3 Sedán 2.0 TDI CD Attraction 184;2013-2016;1968;4;D;135;13,19;184;26400
A3 Sedán 2.0 TDI CD Attraction Quattro S-T 184;2013-2016;1968;4;D;135;13,19;184;31100
A3 Sedán 2.0 TDI CD S line edition 184;2013-2016;1968;4;D;135;13,19;184;28100
A3 Sedán 2.0 TDI CD S line edition Quattro 184;2013-2016;1968;4;D;135;13,19;184;33000
A3 Sedán 2.0 TDI 150;2016-;1968;4;D;110;13,19;150;24500
A3 Sedán 2.0 TDI Black Line Edition 150;2016-;1968;4;D;110;13,19;150;28700
A3 Sedán 2.0 TDI Black Line Edition quattro 150;2016-;1968;4;D;110;13,19;150;30700
A3 Sedán 2.0 TDI Black Line Edition S-Tronic 150;2016-;1968;4;D;110;13,19;150;32000
A3 Sedán 2.0 TDI Design Edition/Sport Edition 150;2016-;1968;4;D;110;13,19;150;26400
A3 Sedán 2.0 TDI Design Edition S-Tronic 150;2016-;1968;4;D;110;13,19;150;28300
A3 Sedán 2.0 TDI Design Edition S-Tronic (4.75) 150;2016-;1968;4;D;110;13,19;150;31500
A3 Sedán 2.0 TDI Design Edition/Sport Edition quattro 150;2016-;1968;4;D;110;13,19;150;28400
A3 Sedán 2.0 TDI quattro 150;2016-;1968;4;D;110;13,19;150;26400
A3 Sedán 2.0 TDI S Line Edition 150;2016-;1968;4;D;110;13,19;150;27900
A3 Sedán 2.0 TDI S Line Edition quattro 150;2016-;1968;4;D;110;13,19;150;29900
A3 Sedán 2.0 TDI S Line Edition S-Tronic 150;2016-;1968;4;D;110;13,19;150;30000
A3 Sedán 2.0 TDI S Line Edition S-Tronic (4.75) 150;2016-;1968;4;D;110;13,19;150;32200
A3 Sedán 2.0 TDI Sport Edition S-Tronic 150;2016-;1968;4;D;110;13,19;150;28400
A3 Sedán 2.0 TDI Sport Edition S-Tronic (4.75) 150;2016-;1968;4;D;110;13,19;150;31600
A3 Sedán 2.0 TDI S-Tronic 150;2016-;1968;4;D;110;13,19;150;26400
A3 Sedán 2.0 TDI S-Tronic (4.75) 150;2016-;1968;4;D;110;13,19;150;30300
A3 Sedán 2.0 TDI Design Edition/Sport Edition quattro S-Tronic 184;2016-;1968;4;D;135;13,19;184;33600
A3 Sedán 2.0 TDI S Line Edition quattro S-Tronic 184;2016-;1968;4;D;135;13,19;184;35100
A3 Sedán 2.0 TFSI Quattro;2013-2016;1984;4;G;221;13,26;300;35100
A3 Sedán 2.0 TFSI Quattro S-T;2013-2016;1984;4;G;221;13,26;300;35500
A3 Sedán 2.0 TFSI Black Line Edition quattro S-Tronic 184;2016-;1984;4;G;135;13,26;184;34300
A3 Sedán 2.0 TFSI 190;2016-;1984;4;G;140;13,26;190;25500
A3 Sedán 2.0 TFSI Black Line Edition quattro S-Tronic 190;2016-;1984;4;G;140;13,26;190;33400
A3 Sedán 2.0 TFSI Black Line Edition 190;2016-;1984;4;G;140;13,26;190;29600
A3 Sedán 2.0 TFSI Design Edition/Sport Edition 190;2016-;1984;4;G;140;13,26;190;27400
A3 Sedán 2.0 TFSI Design Edition quattro S-Tronic 190;2016-;1984;4;G;140;13,26;190;31100
A3 Sedán 2.0 TFSI quattro S-Tronic 190;2016-;1984;4;G;140;13,26;190;29000
A3 Sedán 2.0 TFSI S Line Edition 190;2016-;1984;4;G;140;13,26;190;28800
A3 Sedán 2.0 TFSI S Line Edition quattro S-Tronic 190;2016-;1984;4;G;140;13,26;190;32600
A3 Sedán 2.0 TFSI Sport Edition quattro S-Tronic 190;2016-;1984;4;G;140;13,26;190;31200
A3 S3 Sedán 2.0 TFSI quattro S-Tronic (9.75);2013-2016;1984;4;G;221;13,26;300;38600
A3 S3 Sedán 2.0 TFSI Quattro S-Tronic 310;2016-;1984;4;G;228;13,26;310;40600
A3 RS Sedán 2.5 TFSI Quattro Aut. 400;2017-;2480;5;G;294;16,57;400;52300
A3 Sportback 1.0 TFSI 116;2016-;999;4;G;85;8,78;116;20800
A3 Sportback 1.0 TFSI S-tronic 116;2016-;999;4;G;85;8,78;116;22500
A3 Sportback 1.0 TFSI Design Edition/Sport Edition 116;2016-;999;4;G;85;8,78;116;22500
A3 Sportback 1.0 TFSI Design Edition S-tronic 116;2016-;999;4;G;85;8,78;116;24300
A3 Sportback 1.0 TFSI S Line Edition 116;2016-;999;4;G;85;8,78;116;23900
A3 Sportback 1.0 TFSI S Line Edition S-tronic 116;2016-;999;4;G;85;8,78;116;25800
A3 Sportback 1.0 TFSI Sport Edition S-tronic 116;2016-;999;4;G;85;8,78;116;24400
A3 Sportback 1.2 TFSI Ambiente;2010-2012;1197;4;G;77;9,79;105;20500
A3 Sportback 1.2 TFSI Ambiente S-T;2010-2012;1197;4;G;77;9,79;105;22200
A3 Sportback 1.2 TFSI Ambition;2010-2012;1197;4;G;77;9,79;105;20600
A3 Sportback 1.2 TFSI Ambition S-T;2010-2012;1197;4;G;77;9,79;105;22300
A3 Sportback 1.2 TFSI Attraction;2010-2012;1197;4;G;77;9,79;105;18600
A3 Sportback 1.2 TFSI Attraction S-T;2010-2012;1197;4;G;77;9,79;105;20300
A3 Sportback 1.2 TFSI Genuine Edition;2010-2012;1197;4;G;77;9,79;105;16800
A3 Sportback 1.2 TFSI Genuine Edition S-T;2010-2012;1197;4;G;77;9,79;105;18800
A3 Sportback 1.2 TFSI Adrenalin;2012-2016;1197;4;G;77;9,79;105;18800
A3 Sportback 1.2 TFSI Adrenalin S-tronic;2012-2016;1197;4;G;77;9,79;105;20500
A3 Sportback 1.2 TFSI Ambiente/Ambition;2012-2016;1197;4;G;77;9,79;105;20900
A3 Sportback 1.2 TFSI Ambiente/Ambition EEL;2012-2016;1197;4;G;77;9,79;105;20200
A3 Sportback 1.2 TFSI Ambiente/Ambition EEL S-T;2012-2016;1197;4;G;77;9,79;105;21800
A3 Sportback 1.2 TFSI Ambiente/Ambition S-T;2012-2016;1197;4;G;77;9,79;105;22600
A3 Sportback 1.2 TFSI Attracted;2012-2016;1197;4;G;77;9,79;105;17800
A3 Sportback 1.2 TFSI Attracted S-tronic;2012-2016;1197;4;G;77;9,79;105;19500
A3 Sportback 1.2 TFSI Attraction (CO2 114);2012-2016;1197;4;G;77;9,79;105;19000
A3 Sportback 1.2 TFSI Attraction EEL;2012-2016;1197;4;G;77;9,79;105;18600
A3 Sportback 1.2 TFSI Attraction EEL S-T;2012-2016;1197;4;G;77;9,79;105;20300
A3 Sportback 1.2 TFSI Attraction S-T;2012-2016;1197;4;G;77;9,79;105;20700
A3 Sportback 1.2 TFSI S line edition;2012-2016;1197;4;G;77;9,79;105;21700
