Fecha,Modelo,Version,Precio,Kilometraje,Año,Potencia,Cambio,Combustible,Ciudad
31/05/2020,Audi A3,Sportback 2.0TDI Ambition 150,10000,198.980,10/2013,110 kW (150 CV),Manual,Diésel,41004 Sevilla
31/05/2020,Audi A3,Sportback 2.0 TFSI Ambition S-Tronic,10000,190.000,01/2010,147 kW (200 CV),Automático,Gasolina,08034 Barcelona
31/05/2020,Audi A3,2.0TDI S line edition,10000,136.000,09/2008,103 kW (140 CV),Manual,Diésel,42200 Almazán
31/05/2020,Audi A3,2.0 TDI Sportback DPF Ambiente,10000,140.000,12/2011,103 kW (140 CV),Manual,Diésel,22580 BRNABARRE
31/05/2020,Audi A3,1.6TDI Attraction,10050,125.000,04/2009,77 kW (105 CV),Manual,Diésel,28040 Madrid
31/05/2020,Audi A3,Sedán 1.6TDI Ambiente S-Tronic,10500,180.000,03/2014,77 kW (105 CV),Automático,Diésel,08740 San Andrés de la Barca
31/05/2020,Audi A3,Sportback 1.4 TFSI GenuineEdition S-T Genuine Edit,10500,170.000,11/2012,92 kW (125 CV),Automático,Gasolina,08016 Barcelona
31/05/2020,Audi A3,2.0TDI S line edition,10500,182.000,04/2008,103 kW (140 CV),Manual,Diésel,36629 Vilanova de Arousa
31/05/2020,Audi A3,Cabrio 1.9TDI Attraction,10500,180.000,06/2008,77 kW (105 CV),Manual,Diésel,43700 El Vendrell
31/05/2020,Audi A3,Sportback 1.6TDI Ambition 110 CV,10500,195.000,10/2014,81 kW (110 CV),Manual,Diésel,28035 madrid
31/05/2020,Audi A3,2.0 FSI Ambition,10500,50.000,08/2005,110 kW (150 CV),Manual,Gasolina,50001 Zaragoza
31/05/2020,Audi A3,n/a,10620,96.200,03/2015,1 kW (1 CV),-/- (Cambio),Diésel,30010 Murcia
31/05/2020,Audi A3,n/a,10627,102.000,06/2014,1 kW (1 CV),-/- (Cambio),Diésel,22714 Sabiñánigo
31/05/2020,Audi A3,Sportback 2.0TDI S Line Edition S-Tronic,10699,178.000,11/2011,103 kW (140 CV),Automático,Diésel,28032 madrid
31/05/2020,Audi A3,2.0TDI Ambition,10700,149.900,02/2011,103 kW (140 CV),Manual,Diésel,39012 Santander
31/05/2020,Audi A3,Sportback 2.0TDI Ambition S-Tronic,10700,125.000,11/2011,103 kW (140 CV),Automático,Diésel,07609 Lluchmayor
